product_name,price,rating,rating_count,robot_type,height,battery_life,noise_level,features,smart_home_ecosystem,manufacturer,suction_power,dust_capacity,water_capacity,suitable_surfaces,max_threshold,room_area,battery_life_spec,charging_time,battery_type,battery_capacity,Model  Model name,Smart home features  Smart Home,Product dimensions  Weight,color
Xiaomi X20+,359.0,4.7,216,Vacuum mopping robot,9.7,180.0,,Automatic dust emptying|Configurable cleaning programmes|Infrared sensor|Programmable room boundary,Amazon Alexa|Google Assistant,Xiaomi,6000.0,0.35,0.4,Carpet|Hard floor|Parquet flooring|Tiles|Wood,20.0,,180.0,390.0,,5200.0,,Compatible,3.67 kg,White
Roborock Qrevo Curv,1000.0,4.2,23,Robot vacuum,10.3,220.0,61.5,Automatic dust emptying|Carpet detection,Amazon Alexa|Google Assistant,Roborock,18500.0,0.33,0.08,,40.0,320.0,220.0,240.0,,6400.0,Q Revo,Compatible,4 kg,White
Xiaomi X20 Max,489.0,4.7,40,Vacuum mopping robot,9.7,120.0,,Base station|Camera function|Carpet detection|Configurable cleaning programmes|Independent emptying|Laser navigation|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Self-cleaning mop pads|Staircase safe,Amazon Alexa|Google Assistant|Google Home,Xiaomi,8000.0,2.5,4.0,Carpet|Laminate|Parquet flooring|Tiles,,200.0,120.0,390.0,Li-ion,5200.0,G20 Max,Compatible,3.90 kg,Black
Dreame X40 Ultra Complete_1099.0,1099.0,4.5,213,Vacuum mopping robot,9.7,260.0,68.0,Area cleaning|Automatic detergent addition|Automatic dust emptying|Automatic mop pad separation|Automatic water refill|Base station|Camera function|Carpet detection|Extendable side brushes|Extendable wiping pads|Laser navigation|Obstacle detector|Programmable cleaning schedules|Removable water tank|Self-cleaning mop pads|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Dreame,12000.0,0.3,0.08,Carpet|Concrete|Hard floor|Laminate|Parquet flooring|Stone|Tiles,22.0,210.0,260.0,270.0,Li-ion,6400.0,X40 Ultra Complete,Compatible,14.90 kg,"Gold, White"
Dreame D10 Plus,269.0,4.5,453,Vacuum mopping robot,10.0,250.0,65.0,Automatic dust emptying|Base station|Laser navigation|Obstacle detector|Programmable room boundary,Amazon Alexa|Apple Siri|Google Assistant,Dreame,4000.0,0.4,0.15,Carpet|Hard floor,20.0,270.0,250.0,360.0,Li-ion,5200.0,,Compatible,3.90 kg,White
Roborock S8 MaxV Ultra_999.0,999.0,4.8,169,Vacuum mopping robot,10.3,180.0,67.0,Base station,Amazon Alexa|Google Assistant,Roborock,10000.0,0.27,0.1,Carpet|Laminate|Parquet flooring|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,S8 MaxV Ultra,Compatible,14.40 kg,Black
Roborock S8 MaxV Ultra_1061.0,1061.0,4.8,169,Vacuum mopping robot,10.3,180.0,67.0,Base station,Amazon Alexa|Google Assistant,Roborock,10000.0,2.5,4.0,Carpet|Laminate|Parquet flooring|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,S8 MaxV Ultra,Compatible,14.40 kg,White
Dreame D10 Plus Gen2,229.0,4.5,28,Vacuum mopping robot,9.63,280.0,63.0,Base station|Independent emptying|Obstacle detector|Programmable cleaning schedules|Programmable room boundary,Amazon Alexa|Apple Siri|Google Assistant,Dreame,6000.0,0.4,0.15,Carpet|Laminate|Parquet flooring|Tiles,20.0,,280.0,300.0,Li-ion,5200.0,,Compatible,3.24 kg,White
Dreame X50 Ultra Complete_1399.0,1399.0,4.7,42,Vacuum mopping robot,8.9,200.0,,Area cleaning|Automatic dust emptying|Automatic water regulation|Base station|Carpet detection|Configurable cleaning programmes|Extendable side brushes|Independent emptying|Laser navigation|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Dreame,20000.0,0.3,0.08,Carpet|Concrete|Hard floor|Laminate|Stone|Tiles|Tiles,42.0,,200.0,270.0,Li-ion,6400.0,,Compatible,15.57 kg,Black
Dreame L10s Ultra Gen 2,449.0,4.9,30,Vacuum mopping robot,9.72,240.0,74.0,Automatic dust emptying|Base station,Amazon Alexa|Apple Siri|Google Assistant,Dreame,10000.0,0.3,0.08,Hard floor,20.0,,240.0,210.0,Li-ion,5200.0,Dreame L10s,Compatible,13.30 kg,White
Roborock Qrevo S_499.0,499.0,4.7,47,Vacuum mopping robot,9.65,180.0,67.0,Area cleaning|Automatic dust emptying|Automatic water refill|Base station|Carpet detection|Configurable cleaning programmes|Independent emptying|Infrared sensor|Laser navigation|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Self-cleaning mop pads|Staircase safe,Amazon Alexa|Google Assistant,Roborock,7000.0,0.33,5.0,Carpet|Hard floor|Hard surfaces|Laminate|Parquet flooring|Stone|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,Q Revo,Compatible,8.60 kg,White
Dreame L10s Pro Ultra Heat,619.0,4.8,180,Vacuum mopping robot,9.7,210.0,64.0,Base station|Camera function|Carpet detection|Configurable cleaning programmes|Obstacle detector|Programmable room boundary|Removable water tank,Amazon Alexa|Apple Siri|Google Assistant,Dreame,7000.0,3.2,4.0,Carpet|Hard floor|Laminate|Parquet flooring|Tiles,20.0,200.0,210.0,210.0,Li-ion,5200.0,,Compatible,13.30 kg,"Gold, White"
iRobot Roomba Combo j9+,612.0,4.4,94,Vacuum mopping robot,8.7,120.0,58.0,Carpet detection|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.31,0.21,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,120.0,180.0,Li-ion,4460.0,Roomba Combo j9+,Compatible,3.40 kg,"Black, Bronze"
Roborock Qrevo Plus_579.0,579.0,4.8,12,Vacuum mopping robot,9.65,180.0,63.0,Camera-based navigation|Obstacle detector,Amazon Alexa|Google Assistant,Roborock,7000.0,0.33,0.08,Carpet|Laminate|Parquet flooring|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,Q Revo,Compatible,11.40 kg,White
Dreame L10 Prime,379.0,4.5,69,Vacuum mopping robot,10.2,210.0,60.0,Camera function|Carpet detection|Configurable cleaning programmes|Laser navigation|Obstacle detector|Programmable room boundary|Removable water tank,Amazon Alexa|Apple Siri|Google Assistant,Dreame,4000.0,2.7,2.7,Carpet|Hard floor|Laminate|Parquet flooring|Tiles,22.0,,210.0,180.0,Li-ion,5200.0,,Compatible,3.65 kg,White
iRobot Roomba i1,189.0,4.3,27,Robot vacuum,9.2,90.0,70.0,Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.4,0.4,Carpet|Hard floor|Laminate|Parquet flooring|Stone|Tiles|Tiles,16.0,,90.0,90.0,Li-ion,1850.0,Roomba i1,Compatible,3.18 kg,"Black, Gray, Grey"
iRobot Roomba j9+,549.0,4.4,45,Robot vacuum,8.7,120.0,,Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.4,,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,120.0,180.0,Li-ion,4440.0,Roomba j9+,Compatible,9.40 kg,"Black, Bronze"
Roborock Q5 Pro,196.0,4.5,30,Vacuum mopping robot,9.65,240.0,67.0,Base station|Staircase safe,Amazon Alexa,Roborock,5500.0,0.77,0.18,Carpet|Laminate|Parquet flooring|Tiles,20.0,350.0,240.0,360.0,Li-ion,5200.0,,Compatible,3.40 kg,Black
iRobot Roomba j9,349.0,4.5,33,Robot vacuum,13.4,120.0,,Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.4,0.4,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,120.0,180.0,Li-ion,4440.0,Roomba j9,Compatible,3.40 kg,"Black, Bronze"
Dreame X50 Master,1599.0,,33,Vacuum mopping robot,8.9,200.0,,Area cleaning|Automatic detergent addition|Automatic dust emptying|Automatic water refill|Base station|Camera function|Carpet detection|Configurable cleaning programmes|Extendable side brushes|Extendable wiping pads|Independent emptying|Laser navigation|Obstacle detector|Programmable cleaning schedules|Self-cleaning mop pads|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Dreame,20000.0,0.4,0.08,Carpet|Hard floor|Hard surfaces|Laminate|Parquet flooring|Tiles,60.0,,200.0,270.0,,6400.0,,Compatible,13.74 kg,Black
Roborock Qrevo Slim,1000.0,5.0,2,Vacuum mopping robot,8.2,180.0,67.0,Base station,Amazon Alexa|Google Assistant,Roborock,11000.0,0.22,0.07,,20.0,300.0,180.0,180.0,,5200.0,Q Revo,Compatible,5 kg,Black
iRobot Roomba Combo Essential Y0 (Y0112),132.0,3.9,59,Vacuum mopping robot,8.0,120.0,,Programmable cleaning schedules|Staircase safe,Amazon Alexa|Google Assistant|Swisscom HOME App,iRobot,,0.4,0.2,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,120.0,120.0,Li-ion,2600.0,Roomba Combo Essential,Compatible,4.20 kg,White
Roborock Q5 Max+,320.0,5.0,1,Robot vacuum,9.65,240.0,67.0,Base station,Amazon Alexa|Google Assistant,Roborock,5500.0,0.77,0.18,Carpet|Laminate|Parquet flooring|Tiles,20.0,300.0,240.0,180.0,,5200.0,Q Revo,Compatible,5 kg,Black
Roborock S8 Pro Ultra_948.0,948.0,4.6,368,Vacuum mopping robot,9.65,180.0,67.0,Base station|Camera function|Laser navigation|Obstacle detector|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Roborock,6000.0,0.35,0.2,Carpet|Hard floor|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,S8 Pro Ultra,Compatible,14.10 kg,Black
Roborock S8 Pro Ultra_972.0,972.0,4.6,368,Vacuum mopping robot,9.65,180.0,68.5,Base station|Laser navigation|Obstacle detector|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Roborock,6000.0,0.2,0.35,Carpet|Hard floor|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,S8 Pro Ultra,Compatible,19 kg,"Black, White"
Xiaomi X20 Pro,417.0,4.8,5,Vacuum mopping robot,9.7,160.0,60.0,Automatic power adjustment|Camera-based navigation|Carpet detection|Independent emptying|Laser navigation|Obstacle detector|Programmable room boundary,Amazon Alexa|Google Assistant,Xiaomi,7000.0,2.5,4.0,Carpet|Hard floor|Linoleum|Parquet flooring|Wood,10.0,120.0,160.0,390.0,Li-ion,5200.0,,Compatible,3.70 kg,White
Dreame L10s Pro Gen 2,405.7,4.5,19,Vacuum mopping robot,9.85,160.0,72.0,Base station|Laser navigation|Obstacle detector,Amazon Alexa|Apple Siri|Google Assistant,Dreame,7000.0,0.47,0.3,Carpet|Hard floor,22.0,145.0,160.0,360.0,Li-ion,5200.0,,Compatible,4.20 kg,White
iRobot Roomba Combo j7+,449.0,4.2,105,Vacuum mopping robot,8.5,120.0,68.0,Base station|Camera function|Laser navigation|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.31,0.21,Carpet|Hard floor|Laminate|Parquet flooring|Stone|Tiles|Tiles,16.0,90.0,120.0,120.0,Li-ion,4400.0,Roomba Combo j7+,Compatible,3.40 kg,"Black, Silver"
Mova E30 Ultra,449.0,5.0,3,Vacuum mopping robot,9.72,260.0,74.0,Automatic dust emptying|Automatic power adjustment|Base station|Carpet detection|Independent emptying|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Mova,7000.0,3.2,,Carpet|Hard floor|Laminate|Linoleum|Parquet flooring|Tiles|Wood,22.0,,260.0,210.0,Li-ion,5200.0,,Compatible,3.82 kg,White
Dreame D9 Max Gen 2,239.0,5.0,3,Vacuum mopping robot,9.68,210.0,74.0,Laser navigation,Amazon Alexa|Apple Siri|Google Assistant,Dreame,6000.0,0.57,0.24,Hard floor,22.0,270.0,210.0,360.0,Li-ion,5200.0,,Compatible,3.60 kg,White
Xiaomi Mi Robot Vacuum S10+,239.0,4.5,46,Vacuum mopping robot,9.7,120.0,55.0,Programmable room boundary,Amazon Alexa,Xiaomi,4000.0,0.45,0.2,Linoleum,,200.0,120.0,360.0,Li-ion,5200.0,,Compatible,3.80 kg,White
Xiaomi E5,114.0,4.0,24,Vacuum mopping robot,7.0,110.0,65.0,Obstacle detector|Staircase safe,Amazon Alexa|Google Assistant,Xiaomi,2000.0,0.4,0.4,Carpet|Hard floor,20.0,,110.0,,,2600.0,,Compatible,2.30 kg,White
iRobot Roomba i1+,293.0,4.3,3,Robot vacuum,9.25,75.0,70.0,Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.4,,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,75.0,75.0,Li-ion,1800.0,Roomba i1+,Compatible,3.18 kg,"Black, Grey, Light grey"
Ecovacs DEEBOT T30 OMNI,639.05,4.7,10,Vacuum mopping robot,10.4,290.0,65.0,Base station|Programmable room boundary,Amazon Alexa|Google Assistant,Ecovacs,11000.0,0.3,0.06,Carpet|Laminate|Parquet flooring|Tiles,20.0,200.0,290.0,270.0,Li-ion,5200.0,,Compatible,18.18 kg,Black
Mova P50 Pro Ultra,768.0,4.3,6,Vacuum mopping robot,10.38,200.0,74.0,Automatic dust emptying|Automatic power adjustment|Base station|Carpet detection|Independent emptying|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Google Assistant,Mova,19000.0,3.2,0.08,,20.0,,200.0,210.0,Li-ion,5200.0,,Compatible,4 kg,White
Dreame L20 Ultra Complete,838.24,4.7,365,Vacuum mopping robot,10.3,180.0,63.0,Area cleaning|Automatic detergent addition|Automatic dust emptying|Automatic mop pad separation|Automatic power adjustment|Automatic water refill|Base station|Camera function|Carpet detection|Configurable cleaning programmes|Extendable wiping pads|Fixed water connection|Independent emptying|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Removable water tank|Self-cleaning mop pads,Amazon Alexa|Apple Siri|Google Assistant,Dreame,7000.0,0.3,4.5,Carpet|Hard floor|Laminate|Parquet flooring|Tiles,20.0,,180.0,180.0,Li-ion,6400.0,,Compatible,4.30 kg,White
iRobot Roomba Combo j5+,399.0,4.3,32,Vacuum mopping robot,8.56,75.0,,Carpet detection|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT,iRobot,,0.31,0.21,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,75.0,120.0,Li-ion,2210.0,Roomba Combo i5+,Compatible,3.40 kg,"Black, Grey, Silver"
Kärcher RCV 5,365.0,4.7,27,Vacuum mopping robot,9.7,120.0,66.0,Laser navigation|Programmable room boundary,,Kärcher,5000.0,0.33,0.24,Carpet|Cork|Hard floor|Laminate|Linoleum|Parquet flooring|Stone|Tiles|Vinyl,20.0,85.0,120.0,230.0,Li-ion,5200.0,,Compatible,3.90 kg,White
